R 0
P 1
Y 2
B 3
O 58
G 5
R 6
P 7
PLUMPY 8
Y 9
B 10
O 11
G 12
R 13
P 14
Y 15
B 16
MINT 17
O 18
G 19
R 20
P 21
Y 22
B 23
O 24
G 25
R 26
P 27
Y 28
B 29
O 30
G 31
R 32
P 46
Y 34
B 35
O 36
G 37
R 38
P 39
Y 40
B 41
JOLLY 42
O 43
G 44
R 45
P 46
Y 47 STUCK
B 48
O 49
G 50
R 51
P 52
Y 53
B 54
O 55
G 56
R 57
P 58
Y 59
B 60
O 61
G 62
R 63
P 64
Y 65
B 66
O 67
G 68
R 69
P 70
Y 71
B 72
O 73
NUT 74
G 75
R 76
P 77
Y 78
B 79
O 80
G 81
R 82
P 83
Y 84
B 85 $
O 86
G 87
R 88
P 89
Y 90
B 91
O 92
G 93
R 94
LOLLY 95
P 96
Y 97
B 98
O 99
G 100
R 101
P 102
FROSTINE 103
Y 104
B 105
O 106
G 107
R 108
P 109
Y 110
B 111
O 112
G 113
R 114
P 115
Y 116
B 117
O 118
G 119
R 120 $
P 121
Y 122
B 123
O 124
G 125
R 126
P 127
Y 128
O 129
G 130
R 131
P 132
